t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.52,0.014935054237425699,0.0,-0.08358987140292032,-0.3522378646745155,-0.018775438387038445,0.0,-0.014935054237425699,0.08358987140292032,0.3522378646745155,0.018775438387038445
0.525,0.015065497407589112,0.0,-0.085045665682232,-0.35624835180085046,-0.01928421203257744,0.0,-0.015065497407589112,0.085045665682232,0.35624835180085046,0.01928421203257744
0.53,0.01519565219868235,0.0,-0.08651124017756595,-0.36025145690943994,-0.019800832938900573,0.0,-0.01519565219868235,0.08651124017756595,0.36025145690943994,0.019800832938900573
0.535,0.015325517435808702,0.0,-0.0879865277862964,-0.3642470768238991,-0.02032532382671882,0.0,-0.015325517435808702,0.0879865277862964,0.3642470768238991,0.02032532382671882
0.54,0.015455092004548764,0.0,-0.08947146176850934,-0.36823511333739417,-0.020857706912612548,0.0,-0.015455092004548764,0.08947146176850934,0.36823511333739417,0.020857706912612548
0.545,0.015584374849322104,0.0,-0.09096597574627348,-0.37221547301052293,-0.021398003914893625,0.0,-0.015584374849322104,0.09096597574627348,0.37221547301052293,0.021398003914893625
0.55,0.015713364971765394,0.0,-0.09247000370271731,-0.3761880669774708,-0.021946236059245092,0.0,-0.015713364971765394,0.09247000370271731,0.3761880669774708,0.021946236059245092
0.555,0.0158420614291296,0.0,-0.0939834799809277,-0.38015281076010365,-0.022502424084151297,0.0,-0.0158420614291296,0.0939834799809277,0.38015281076010365,0.022502424084151297
0.56,0.015970463332698425,0.0,-0.09550633928268389,-0.3841096240896727,-0.02306658824613085,0.0,-0.015970463332698425,0.09550633928268389,0.3841096240896727,0.02306658824613085
0.5650000000000001,0.016098569846229958,0.0,-0.09703851666704057,-0.3880584307358196,-0.023638748324784086,0.0,-0.016098569846229958,0.09703851666704057,0.3880584307358196,0.023638748324784086
